constellation,num_pairs,stars,name,ra,dec,zodiac
Cap,14,"['100064', '100345', '100345', '104139', '104139', '105515', '105515', '106985', '106985', '107556', '105515', '106039', '106039', '105881', '105881', '104139', '104139', '104019', '104019', '104234', '104019', '101027', '100345', '101027', '101027', '102485', '102485', '102978']",Capricornus,"[20.300904, 20.350187, 20.350187, 21.099118, 21.099118, 21.370776, 21.370776, 21.668181, 21.668181, 21.784011, 21.370776, 21.478721, 21.478721, 21.444452, 21.444452, 21.099118, 21.099118, 21.073417000000003, 21.073417000000003, 21.118797, 21.073417000000003, 20.481004, 20.350187, 20.481004, 20.481004, 20.76826, 20.76826, 20.863692]","[-12.544852, -14.781367, -14.781367, -17.232861, -17.232861, -16.834542000000003, -16.834542000000003, -16.662308, -16.662308, -16.127285999999998, -16.834542000000003, -21.80718, -21.80718, -22.411332, -22.411332, -17.232861, -17.232861, -19.854991, -19.854991, -25.005853, -19.854991, -17.813686999999998, -14.781367, -17.813686999999998, -17.813686999999998, -25.270898000000003, -25.270898000000003, -26.919133]",True
Aqr,23,"['102618', '103045', '103045', '104459', '104459', '106278', '106278', '109139', '106278', '109074', '109074', '110395', '110395', '111497', '111497', '110672', '110672', '109074', '109074', '110003', '110003', '112961', '112961', '114855', '114855', '114724', '114724', '112961', '112961', '112716', '112716', '113136', '113136', '114855', '114855', '114341', '114341', '114375', '114375', '114119', '114855', '115438', '115438', '115669', '115669', '116247']",Aquarius,"[20.794598, 20.877565, 20.877565, 21.159902, 21.159902, 21.525982, 21.525982, 22.107286, 21.525982, 22.096399, 22.096399, 22.360938, 22.360938, 22.589272, 22.589272, 22.421284, 22.421284, 22.096399, 22.096399, 22.280565, 22.280565, 22.87691, 22.87691, 23.264859, 23.264859, 23.238711, 23.238711, 22.87691, 22.87691, 22.826528, 22.826528, 22.910837, 22.910837, 23.264859, 23.264859, 23.157443, 23.157443, 23.165249, 23.165249, 23.111345, 23.264859, 23.382842, 23.382842, 23.434108, 23.434108, 23.554618]","[-9.495776, -8.983317999999999, -8.983317999999999, -11.371693, -11.371693, -5.571172, -5.571172, -13.869679, -5.571172, -0.319851, -0.319851, -1.387331, -1.387331, -0.117498, -0.117498, 1.377401, 1.377401, -0.319851, -0.319851, -7.783289999999999, -7.783289999999999, -7.579599000000001, -7.579599000000001, -9.087737, -9.087737, -6.049003, -6.049003, -7.579599000000001, -7.579599000000001, -13.592632, -13.592632, -15.82082, -15.82082, -9.087737, -9.087737, -21.17241, -21.17241, -22.457611, -22.457611, -23.743115, -9.087737, -20.10058, -20.10058, -20.642014, -20.642014, -20.914504]",True
Equ,2,"['104987', '104858', '104858', '104521']",Equuleus,"[21.263731, 21.241337, 21.241337, 21.172361]","[5.247845, 10.006981, 10.006981, 10.131579]",False
PsA,9,"['113368', '111954', '111954', '109285', '109285', '107380', '107380', '107608', '107608', '109285', '109285', '111188', '111188', '112948', '112948', '113246', '113246', '113368']",Piscis Austrinus,"[22.960838, 22.677594, 22.677594, 22.139722, 22.139722, 21.749113, 21.749113, 21.795598, 21.795598, 22.139722, 22.139722, 22.52509, 22.52509, 22.875427, 22.875427, 22.932472, 22.932472, 22.960838]","[-29.622236, -27.043617, -27.043617, -32.988468, -32.988468, -33.025781, -33.025781, -30.898304, -30.898304, -32.988468, -32.988468, -32.346073, -32.346073, -32.875504, -32.875504, -32.539628, -32.539628, -29.622236]",False
Gru,9,"['114131', '110997', '110997', '109268', '109268', '112122', '112122', '114421', '114421', '114131', '112122', '113638', '112122', '112623', '109268', '109111', '109111', '108085']",Grus,"[23.11465, 22.487825, 22.487825, 22.137209, 22.137209, 22.711115, 22.711115, 23.17264, 23.17264, 23.11465, 22.711115, 23.014677, 22.711115, 22.809239, 22.137209, 22.101914, 22.101914, 21.898808]","[-43.520358, -43.495565, -43.495565, -46.960975, -46.960975, -46.884577, -46.884577, -45.246711, -45.246711, -43.520358, -46.884577, -52.754137, -46.884577, -51.316864, -46.960975, -39.543353, -39.543353, -37.364852]",False
Phe,12,"['5348', '5165', '5165', '3245', '3245', '2072', '3245', '5348', '5165', '7083', '7083', '8837', '8837', '5165', '5165', '6867', '6867', '3245', '2072', '2081', '2081', '765', '765', '2072']",Phoenix,"[1.139742, 1.101407, 1.101407, 0.688766, 0.688766, 0.436716, 0.688766, 1.139742, 1.101407, 1.520851, 1.520851, 1.894102, 1.894102, 1.101407, 1.101407, 1.472759, 1.472759, 0.688766, 0.436716, 0.438056, 0.438056, 0.156836, 0.156836, 0.436716]","[-55.24576, -46.718414, -46.718414, -46.085007, -46.085007, -43.679829, -46.085007, -55.24576, -46.718414, -49.072702, -49.072702, -46.302669, -46.302669, -46.718414, -46.718414, -43.318234, -43.318234, -46.085007, -43.679829, -42.305981, -42.305981, -45.747426, -45.747426, -43.679829]",False
Psc,20,"['5586', '5742', '5586', '6193', '6193', '5742', '5742', '6706', '6706', '7097', '7097', '8198', '8198', '9487', '9487', '7884', '7884', '7007', '7007', '5737', '5737', '4906', '4906', '3786', '3786', '118268', '118268', '116771', '116771', '116928', '116928', '115738', '115738', '114971', '114971', '115227', '115227', '115830', '115830', '116771']",Pisces,"[1.194342, 1.229152, 1.194342, 1.324443, 1.324443, 1.229152, 1.229152, 1.437573, 1.437573, 1.524725, 1.524725, 1.756564, 1.756564, 2.034117, 2.034117, 1.6905259999999998, 1.6905259999999998, 1.503087, 1.503087, 1.228857, 1.228857, 1.049058, 1.049058, 0.811373, 0.811373, 23.988525, 23.988525, 23.665844, 23.665844, 23.700779, 23.700779, 23.448876, 23.448876, 23.286094, 23.286094, 23.339051, 23.339051, 23.466138, 23.466138, 23.665844]","[30.089638, 24.583713, 30.089638, 27.264059000000003, 27.264059000000003, 24.583713, 24.583713, 19.172346, 19.172346, 15.345823, 15.345823, 9.157736, 9.157736, 2.763759, 2.763759, 5.487613, 5.487613, 6.14382, 6.14382, 7.575353999999999, 7.575353999999999, 7.890135000000001, 7.890135000000001, 7.585078999999999, 7.585078999999999, 6.863321000000001, 6.863321000000001, 5.626291999999999, 5.626291999999999, 1.780041, 1.780041, 1.255608, 1.255608, 3.282289, 3.282289, 5.381307, 5.381307, 6.378992, 6.378992, 5.626291999999999]",True
Cet,14,"['12706', '11484', '11484', '12828', '12828', '13954', '13954', '14135', '14135', '12706', '12706', '12387', '12387', '10826', '10826', '8645', '8645', '6537', '6537', '1562', '1562', '3419', '3419', '8102', '3419', '9347', '9347', '12387']",Cetus,"[2.721678, 2.469317, 2.469317, 2.749039, 2.749039, 2.99525, 2.99525, 3.037992, 3.037992, 2.721678, 2.721678, 2.658044, 2.658044, 2.322442, 2.322442, 1.857676, 1.857676, 1.40039, 1.40039, 0.323799, 0.323799, 0.72649, 0.72649, 1.734479, 0.72649, 2.000084, 2.000084, 2.658044]","[3.235818, 8.460054, 8.460054, 10.114146, 10.114146, 8.907364999999999, 8.907364999999999, 4.089734, 4.089734, 3.235818, 3.235818, 0.328511, 0.328511, -2.977643, -2.977643, -10.335038, -10.335038, -8.183257000000001, -8.183257000000001, -8.823921, -8.823921, -17.986604999999997, -17.986604999999997, -15.93748, -17.986604999999997, -21.077831, -21.077831, 0.328511]",False
Scl,1,"['4577', '4577']",Sculptor,"[0.976766, 0.976766]","[-29.357449, -29.357449]",False
Car,14,"['39953', '38827', '38827', '41037', '41037', '45556', '45556', '50371', '50371', '51232', '51232', '51849', '51849', '53253', '53253', '54463', '53253', '52468', '52468', '51576', '51576', '52419', '52419', '50099', '50099', '45238', '45238', '30438']",Carina,"[8.158876, 7.946313000000001, 7.946313000000001, 8.375236, 8.375236, 9.284838, 9.284838, 10.28472, 10.28472, 10.464649, 10.464649, 10.59314, 10.59314, 10.891559, 10.891559, 11.143165, 10.891559, 10.725639, 10.725639, 10.533743, 10.533743, 10.715949, 10.715949, 10.228961, 10.228961, 9.220041, 9.220041, 6.399195]","[-47.336588, -52.98236, -52.98236, -59.509483, -59.509483, -59.275229, -59.275229, -61.332304, -61.332304, -58.739403, -58.739403, -57.557636, -57.557636, -58.853171, -58.853171, -58.975037, -58.853171, -60.566619, -60.566619, -61.685332, -61.685332, -64.39445, -64.39445, -70.037903, -70.037903, -69.717208, -69.717208, -52.69566]",False
Pup,12,"['30438', '31685', '31685', '35264', '35264', '36917', '36917', '37229', '37229', '37173', '37173', '38170', '38170', '38070', '38070', '37677', '37677', '36917', '38170', '39757', '39757', '39429', '39429', '39953']",Puppis,"[6.399195, 6.629353, 6.629353, 7.285711, 7.285711, 7.589694000000001, 7.589694000000001, 7.647186, 7.647186, 7.638346, 7.638346, 7.821571, 7.821571, 7.801436, 7.801436, 7.73013, 7.73013, 7.589694000000001, 7.821571, 8.125736999999999, 8.125736999999999, 8.059737, 8.059737, 8.158876]","[-52.69566, -43.195934, -43.195934, -37.09747, -37.09747, -28.369323, -28.369323, -26.803836, -26.803836, -25.364804, -25.364804, -24.859786, -24.859786, -25.937169, -25.937169, -28.954826, -28.954826, -28.369323, -24.859786, -24.304324, -24.304324, -40.003148, -40.003148, -47.336588]",False
Vel,9,"['39953', '42913', '42913', '45941', '45941', '48774', '48774', '52727', '52727', '51986', '51986', '50191', '50191', '46651', '46651', '44816', '44816', '39953']",Vela,"[8.158876, 8.745059, 8.745059, 9.368562, 9.368562, 9.947708, 9.947708, 10.779488, 10.779488, 10.621717, 10.621717, 10.245607, 10.245607, 9.511674, 9.511674, 9.133268, 9.133268, 8.158876]","[-47.336588, -54.70882099999999, -54.70882099999999, -55.010668, -55.010668, -54.56779, -54.56779, -49.420255, -49.420255, -48.22562, -48.22562, -42.121942, -42.121942, -40.466769, -40.466769, -43.432589, -43.432589, -47.336588]",False
Pyx,3,"['39429', '42515', '42515', '42828', '42828', '43409']",Pyxis,"[8.059737, 8.668372999999999, 8.668372999999999, 8.726539, 8.726539, 8.842203999999999]","[-40.003148, -35.308352, -35.308352, -33.186384999999994, -33.186384999999994, -27.709844]",False
Vol,8,"['37504', '34481', '34481', '39794', '39794', '37504', '39794', '35228', '39794', '41312', '41312', '44382', '44382', '39794', '40817', '39794']",Volans,"[7.697004, 7.1457880000000005, 7.1457880000000005, 8.132173, 8.132173, 7.697004, 8.132173, 7.280508, 8.132173, 8.428951, 8.428951, 9.040777, 9.040777, 8.132173, 8.330274000000001, 8.132173]","[-72.606098, -70.498932, -70.498932, -68.617062, -68.617062, -72.606098, -68.617062, -67.95715200000001, -68.617062, -66.13689000000001, -66.13689000000001, -66.39607600000001, -66.39607600000001, -68.617062, -71.51490600000001, -68.617062]",False
Dor,7,"['27100', '27890', '27890', '26069', '26069', '27100', '26069', '21281', '21281', '19893', '26069', '23693', '23693', '21281']",Dorado,"[5.7462230000000005, 5.901658, 5.901658, 5.560421, 5.560421, 5.7462230000000005, 5.560421, 4.566598, 4.566598, 4.267097, 5.560421, 5.091853, 5.091853, 4.566598]","[-65.73552600000001, -63.089627, -63.089627, -62.489825, -62.489825, -65.73552600000001, -62.489825, -55.044975, -55.044975, -51.486648, -62.489825, -57.472704, -57.472704, -55.044975]",False
Col,8,"['28328', '28199', '28199', '30277', '30277', '29807', '29807', '28199', '28199', '27628', '27628', '28328', '27628', '26634', '26634', '25859']",Columba,"[5.985778, 5.958947, 5.958947, 6.368564, 6.368564, 6.275871, 6.275871, 5.958947, 5.958947, 5.849329, 5.849329, 5.985778, 5.849329, 5.660817, 5.660817, 5.520209]","[-42.815135, -35.28328, -35.28328, -33.4364, -33.4364, -35.140519, -35.140519, -35.28328, -35.28328, -35.768309, -35.768309, -42.815135, -35.768309, -34.074108, -34.074108, -35.470519]",False
Hyi,5,"['2021', '17678', '17678', '12394', '12394', '11001', '11001', '8928', '8928', '9236']",Hydrus,"[0.4279159999999999, 3.787295, 3.787295, 2.659799, 2.659799, 2.362498, 2.362498, 1.915572, 1.915572, 1.979451]","[-77.25424699999999, -74.238962, -74.238962, -68.26694599999999, -68.26694599999999, -68.659418, -68.659418, -67.64730300000001, -67.64730300000001, -61.569859]",False
Pic,3,"['32607', '27530', '27530', '27321', '32607', '27321']",Pictor,"[6.803194, 5.830451, 5.830451, 5.788079, 6.803194, 5.788079]","[-61.941391, -56.166663, -56.166663, -51.066514, -61.941391, -51.066514]",False
Ret,4,"['19780', '19921', '19921', '18597', '18597', '17440', '17440', '19780']",Reticulum,"[4.240404, 4.274738, 4.274738, 3.979095, 3.979095, 3.736593, 3.736593, 4.240404]","[-62.47385799999999, -59.302156, -59.302156, -61.400185, -61.400185, -64.806903, -64.806903, -62.47385799999999]",False
Hor,1,"['19747', '19747']",Horologium,"[4.233363, 4.233363]","[-42.294368, -42.294368]",False
For,1,"['14879', '14879']",Fornax,"[3.201249, 3.201249]","[-28.987618, -28.987618]",False
Cen,31,"['72010', '71865', '71865', '73334', '73334', '71352', '71352', '68245', '68245', '68862', '68862', '70300', '70300', '70090', '70090', '68933', '68933', '67464', '67464', '68245', '67153', '67457', '67153', '67669', '67153', '67786', '67153', '65109', '65109', '65936', '65936', '67464', '67464', '67472', '67472', '68002', '68002', '68523', '68523', '68282', '68282', '68245', '68002', '66657', '66657', '71683', '66657', '68702', '66657', '61932', '61932', '68002', '61932', '60823', '60823', '59449', '59449', '56561', '60823', '59196', '59196', '55425']",Centaurus,"[14.727624, 14.699332, 14.699332, 14.986025, 14.986025, 14.591786, 14.591786, 13.971186, 13.971186, 14.10077, 14.10077, 14.383956, 14.383956, 14.342623, 14.342623, 14.111395000000002, 14.111395000000002, 13.825078, 13.825078, 13.971186, 13.761470999999998, 13.824091, 13.761470999999998, 13.863779, 13.761470999999998, 13.886817, 13.761470999999998, 13.343296, 13.343296, 13.517404999999998, 13.517404999999998, 13.825078, 13.825078, 13.826943, 13.826943, 13.925667, 13.925667, 14.028748, 14.028748, 13.977987, 13.977987, 13.971186, 13.925667, 13.664796, 13.664796, 14.660765, 13.664796, 14.063729, 13.664796, 12.691971, 12.691971, 13.925667, 12.691971, 12.467331, 12.467331, 12.194202, 12.194202, 11.596363, 12.467331, 12.13931, 12.13931, 11.350117]","[-35.173655, -37.793498, -37.793498, -42.104194, -42.104194, -42.157824, -42.157824, -42.100753000000005, -42.100753000000005, -41.179633, -41.179633, -39.511819, -39.511819, -37.885295, -37.885295, -36.369954, -36.369954, -41.687709000000005, -41.687709000000005, -42.100753000000005, -33.043721000000005, -34.450776, -33.043721000000005, -32.994089, -33.043721000000005, -31.927612, -33.043721000000005, -36.712295000000005, -36.712295000000005, -39.407307, -39.407307, -41.687709000000005, -41.687709000000005, -42.473732, -42.473732, -47.288375, -47.288375, -45.603421, -45.603421, -44.803584, -44.803584, -42.100753000000005, -47.288375, -53.466394, -53.466394, -60.833976, -53.466394, -60.373039, -53.466394, -48.959888, -48.959888, -47.288375, -48.959888, -50.230635, -50.230635, -52.36846, -52.36846, -63.01984100000001, -50.230635, -50.722425, -50.722425, -54.491019]",False
Cru,2,"['61084', '60718', '62434', '59747']",Crux,"[12.519429, 12.443311, 12.795359, 12.252427]","[-57.113212, -63.099092000000006, -59.688764, -58.748928]",False
Pav,13,"['100751', '105858', '105858', '102395', '102395', '99240', '99240', '100751', '99240', '98495', '98495', '91792', '91792', '93015', '93015', '99240', '93015', '92609', '92609', '90098', '90098', '88866', '88866', '92609', '88866', '86929']",Pavo,"[20.427459, 21.440705, 21.440705, 20.749314, 20.749314, 20.145157, 20.145157, 20.427459, 20.145157, 20.009845, 20.009845, 18.71726, 18.71726, 18.949177, 18.949177, 20.145157, 18.949177, 18.870288, 18.870288, 18.387117, 18.387117, 18.143, 18.143, 18.870288, 18.143, 17.762221]","[-56.73509, -65.366198, -65.366198, -66.203212, -66.203212, -66.182068, -66.182068, -56.73509, -66.182068, -72.910504, -72.910504, -71.428113, -71.428113, -67.23349499999999, -67.23349499999999, -66.182068, -67.23349499999999, -62.18759300000001, -62.18759300000001, -61.493901, -61.493901, -63.668553, -63.668553, -62.18759300000001, -63.668553, -64.723871]",False
TrA,4,"['82273', '74946', '74946', '76440', '76440', '77952', '77952', '82273']",Triangulum Australe,"[16.811076999999997, 15.315181, 15.315181, 15.612, 15.612, 15.919083, 15.919083, 16.811076999999997]","[-69.027715, -68.67954499999999, -68.67954499999999, -66.317037, -66.317037, -63.430727000000005, -63.430727000000005, -69.027715]",False
Lup,24,"['78918', '77634', '77634', '76705', '76705', '75177', '75177', '78384', '75177', '75304', '75304', '75501', '75501', '76297', '76297', '76552', '76552', '76829', '75501', '75141', '75141', '74117', '74117', '74911', '74911', '75264', '74117', '73807', '73807', '74376', '74376', '74395', '73807', '71536', '71536', '71121', '71536', '71860', '71860', '69996', '71860', '70576', '71860', '72683', '72683', '73273', '73273', '75177']",Lupus,"[16.109873999999998, 15.849316, 15.849316, 15.662772, 15.662772, 15.36344, 15.36344, 16.002036, 15.36344, 15.385931, 15.385931, 15.422285, 15.422285, 15.585681, 15.585681, 15.634232, 15.634232, 15.686505, 15.422285, 15.356201, 15.356201, 15.147394, 15.147394, 15.308897, 15.308897, 15.378021, 15.147394, 15.085303, 15.085303, 15.198918, 15.198918, 15.20476, 15.085303, 14.631454000000002, 14.631454000000002, 14.543629, 14.631454000000002, 14.698823, 14.698823, 14.323396, 14.698823, 14.436336, 14.698823, 14.860641, 14.860641, 14.975537, 14.975537, 15.36344]","[-36.802288, -33.627165000000005, -33.627165000000005, -34.411926, -34.411926, -36.261376, -36.261376, -38.396706, -36.261376, -36.858489, -36.858489, -38.73362, -38.73362, -41.166757, -41.166757, -42.567348, -42.567348, -44.661205, -38.73362, -40.647518, -40.647518, -45.279857, -45.279857, -47.875272, -47.875272, -44.689622, -45.279857, -47.051245, -47.051245, -48.737819, -48.737819, -52.099247, -47.051245, -49.425828, -49.425828, -50.457157, -49.425828, -47.3882, -47.3882, -46.058093, -47.3882, -45.379276, -47.3882, -43.575359000000006, -43.575359000000006, -43.13396, -43.13396, -36.261376]",False
Mus,6,"['62322', '61585', '61585', '63613', '63613', '61199', '61199', '61585', '61585', '59929', '59929', '57363']",Fly,"[12.771346, 12.619739, 12.619739, 13.037759, 13.037759, 12.541134, 12.541134, 12.619739, 12.619739, 12.292917, 12.292917, 11.760141]","[-68.10811899999999, -69.135564, -69.135564, -71.548855, -71.548855, -72.132988, -72.132988, -69.135564, -69.135564, -67.960736, -67.960736, -66.728763]",False
Oct,3,"['107089', '112405', '112405', '70638', '70638', '107089']",Octans,"[21.691253, 22.767692, 22.767692, 14.448801, 14.448801, 21.691253]","[-77.390046, -81.381615, -81.381615, -83.667884, -83.667884, -77.390046]",False
Cir,2,"['71908', '75323', '71908', '74824']",Circinus,"[14.708492, 15.389625, 14.708492, 15.291917000000002]","[-64.975138, -59.320787, -64.975138, -58.801208]",False
Nor,4,"['80000', '80582', '80582', '78914', '78914', '78639', '78639', '80000']",Norma,"[16.330687, 16.453067, 16.453067, 16.108176, 16.108176, 16.053579, 16.053579, 16.330687]","[-50.155508000000005, -47.554786, -47.554786, -45.173185, -45.173185, -49.229695, -49.229695, -50.155508000000005]",False
Aps,4,"['80047', '81065', '81065', '81852', '81852', '80047', '80047', '72370']",Apus,"[16.339119, 16.557609, 16.557609, 16.718126, 16.718126, 16.339119, 16.339119, 14.797701000000002]","[-78.695745, -78.897148, -78.897148, -77.51743499999999, -77.51743499999999, -78.695745, -78.695745, -79.044751]",False
Cha,5,"['40702', '51839', '51839', '52595', '52595', '60000', '60000', '58484', '58484', '51839']",Chamaeleon,"[8.308703, 10.591166, 10.591166, 10.754546, 10.754546, 12.305812, 12.305812, 11.993796, 11.993796, 10.591166]","[-76.919722, -78.607786, -78.607786, -80.469597, -80.469597, -79.31224, -79.31224, -78.221839, -78.221839, -78.607786]",False
Tuc,5,"['110130', '114996', '114996', '118322', '118322', '1599', '1599', '2484', '2484', '114996']",Tucana,"[22.308371, 23.290498, 23.290498, 23.998594, 23.998594, 0.334142, 0.334142, 0.525725, 0.525725, 23.290498]","[-60.259587, -58.235734, -58.235734, -65.57713199999999, -65.57713199999999, -64.874791, -64.874791, -62.958218, -62.958218, -58.235734]",False
Ind,5,"['101772', '102333', '102333', '103227', '103227', '108870', '108870', '108431', '108431', '103227']",Indus,"[20.626116, 20.733966, 20.733966, 20.913498, 20.913498, 22.055486, 22.055486, 21.965293, 21.965293, 20.913498]","[-47.291502, -51.920971, -51.920971, -58.45415500000001, -58.45415500000001, -56.785977, -56.785977, -54.992575, -54.992575, -58.45415500000001]",False
Tel,1,"['90568', '90422']",Telescopium,"[18.480505, 18.449561]","[-49.070588, -45.968459]",False
Ara,6,"['88714', '85792', '85792', '83153', '83153', '83081', '83081', '82363', '82363', '85727', '85727', '88714']",Ara,"[18.11052, 17.530695, 17.530695, 16.993069000000002, 16.993069000000002, 16.977006, 16.977006, 16.82976, 16.82976, 17.518318, 17.518318, 18.11052]","[-50.091477000000005, -49.876145, -49.876145, -53.160438, -53.160438, -55.990141, -55.990141, -59.041378, -59.041378, -60.683848, -60.683848, -50.091477000000005]",False
Mic,1,"['102831', '102831']",Microscopium,"[20.8328, 20.8328]","[-33.779722, -33.779722]",False
Cae,1,"['21770', '21770']",Caelum,"[4.676039, 4.676039]","[-41.863752000000005, -41.863752000000005]",False
Men,1,"['29271', '29271']",Mensa,"[6.170632, 6.170632]","[-74.753045, -74.753045]",False
Sex,1,"['49641', '49641']",Sextans,"[10.1323, 10.1323]","[-0.371637, -0.371637]",False
